datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/10 15:19:54,6.48,1102.33,295.275,0.0011,-67.25
2022/3/10 15:22:30,6.47,1102.15,288.347,0.0011,-67.46
2022/3/10 15:25:6,6.47,1101.95,297.068,0.0011,-66.68
2022/3/10 15:27:42,6.48,1101.61,309.290,0.0010,-67.41
2022/3/10 15:30:17,6.47,1100.80,289.146,0.0010,-66.48
2022/3/10 15:32:53,6.48,1100.51,288.714,0.0010,-67.15
2022/3/10 15:35:29,6.47,1100.58,302.737,0.0010,-66.28
2022/3/10 15:38:5,6.48,1099.81,283.667,0.0011,-67.30
2022/3/10 15:40:41,6.48,1099.68,308.841,0.0010,-66.83
2022/3/10 15:43:16,6.48,1099.31,274.991,0.0011,-67.25
2022/3/10 15:45:52,6.48,1099.03,265.961,0.0011,-66.68
2022/3/10 15:48:28,6.47,1098.81,292.602,0.0011,-67.46
2022/3/10 15:51:4,6.47,1098.46,258.800,0.0011,-66.83
2022/3/10 15:53:40,6.47,1098.11,259.551,0.0010,-66.48
2022/3/10 15:56:16,6.47,1097.89,279.544,0.0011,-67.52
2022/3/10 15:58:51,6.47,1097.55,255.714,0.0011,-66.33
2022/3/10 16:1:27,6.46,1097.79,246.986,0.0011,-67.52
2022/3/10 16:4:3,6.46,1097.62,260.564,0.0011,-66.28
2022/3/10 16:6:39,6.45,1097.11,303.790,0.0010,-67.52
2022/3/10 16:9:15,6.45,1097.06,260.697,0.0011,-67.36
2022/3/10 16:11:50,6.44,1096.87,293.919,0.0010,-67.09
2022/3/10 16:14:26,6.44,1096.78,261.183,0.0011,-67.68
2022/3/10 16:17:2,6.43,1096.55,293.249,0.0011,-67.09
2022/3/10 16:19:38,6.42,1096.48,257.838,0.0011,-66.53
2022/3/10 16:22:14,6.42,1095.97,263.742,0.0011,-66.63
2022/3/10 16:24:49,6.41,1096.10,256.165,0.0011,-66.78
2022/3/10 16:27:26,6.40,1095.53,261.229,0.0011,-67.36
2022/3/10 16:30:2,6.40,1095.44,257.949,0.0011,-66.78
2022/3/10 16:32:37,6.40,1095.30,256.577,0.0011,-66.78
2022/3/10 16:35:13,6.39,1095.27,263.497,0.0011,-66.99
2022/3/10 16:37:49,6.39,1094.92,253.370,0.0011,-66.68
2022/3/10 16:40:25,6.38,1094.67,253.893,0.0011,-67.15
2022/3/10 16:43:1,6.37,1094.80,254.967,0.0011,-66.78
2022/3/10 16:45:36,6.37,1094.31,248.465,0.0011,-67.04
2022/3/10 16:48:12,6.37,1094.18,263.051,0.0011,-66.78
2022/3/10 16:50:48,6.36,1094.37,280.912,0.0011,-67.52
2022/3/10 16:53:24,6.36,1094.07,251.706,0.0011,-67.15
2022/3/10 16:56:0,6.36,1094.03,249.065,0.0011,-67.04
2022/3/10 16:58:35,6.35,1093.88,251.321,0.0011,-67.09
2022/3/10 17:1:11,6.35,1094.12,280.856,0.0011,-67.52
2022/3/10 17:3:47,6.34,1094.28,246.439,0.0011,-67.20
2022/3/10 17:6:23,6.34,1094.06,243.923,0.0011,-67.25
2022/3/10 17:8:59,6.33,1093.97,244.372,0.0011,-67.15
2022/3/10 17:11:34,6.33,1094.13,273.138,0.0011,-66.78
2022/3/10 17:14:10,6.32,1093.78,241.185,0.0011,-66.78
2022/3/10 17:16:46,6.32,1093.71,241.455,0.0011,-67.15
2022/3/10 17:19:22,6.31,1093.69,249.092,0.0011,-67.15
2022/3/10 17:21:58,6.31,1093.41,244.574,0.0011,-67.09
2022/3/10 17:24:33,6.31,1093.89,242.272,0.0011,-67.68
2022/3/10 17:27:9,6.30,1093.86,243.161,0.0011,-66.94
2022/3/10 17:29:45,6.30,1093.76,246.765,0.0011,-67.46
2022/3/10 17:32:21,6.29,1093.77,247.236,0.0011,-67.73
2022/3/10 17:34:57,6.29,1093.84,250.512,0.0011,-67.25
2022/3/10 17:37:33,6.29,1094.02,235.643,0.0011,-66.63
2022/3/10 17:40:8,6.28,1094.08,231.183,0.0011,-66.78
2022/3/10 17:42:44,6.28,1094.11,234.972,0.0011,-67.04
2022/3/10 17:45:20,6.29,1093.96,231.013,0.0011,-67.46
2022/3/10 17:47:56,6.28,1093.94,239.620,0.0011,-68.24
2022/3/10 17:50:32,6.28,1094.43,192.955,0.0011,-66.94
2022/3/10 17:53:7,6.29,1094.56,189.978,0.0011,-66.73
